EVBN	30.0	23.25
EVVV	21.54	9.4
EWBC	62.25	14.94
EXAC	31.73	26.23
EXAS	18.0	2.93
EXBD	112.97	77.5
EXLP	40.38	31.83
EXPD	109.0	28.36
EXTR	293.12	2.79
FACE	23.25	20.42
FBIZ	25.0	22.49
FBNC	42.0	22.5
FCCO	24.5	15.25
FCCY	42.0	22.5
FCEC	56.0	20.1
FCFL	30.9	4.0
FCLF	20.65	12.25
FCMC	14.0	1.75
FCNCA	217.79	164.81
FDEF	31.44	12.98
FDML	27.0	14.26
FEIC	43.4	11.38
FEIM	38.25	3.29
FFBC	59.63	15.68
FFCH	51.97	15.71
FFEX	20.06	8.06
FFHS	33.0	9.64
FFIN	67.0	38.0
FFIV	160.5	16.62
FFKT	101.0	33.81
FFNM	10.15	5.26
FFNW	11.95	8.05
FFSX	39.0	14.21
FIGI	7.25	5.6
FINL	49.25	24.69
FISI	38.85	19.54
FITB	88.83	69.27
FITBP	164.24	136.0
FIZZ	45.0	8.45
FLEX	92.88	10.2
FLIR	72.85	58.05
FLML	43.6	30.66
FLXS	24.35	21.76
FNET	25.95	9.3
FNFG	32.1	12.63
FNLC	57.99	48.02
FNSR	185.19	1.21
FOLD	18.22	13.29
FONR	10.0	1.18
FORD	29.85	2.35
FORR	81.5	15.45
FPBI	19.98	16.78
FPFC	25.94	16.95
FRBK	16.61	7.96
FRCCO	26.45	24.85
FRED	43.86	13.63
FRGB	100.28	5.62
FSCI	140.0	32.0
FSGI	13.01	10.05
FSII	53.5	4.25
FSLR	317.0	198.23
FSRV	38.29	4.25
FSTF	19.25	14.45
FSTR	59.95	33.75
FSYS	61.24	6.25
FTBK	62.76	34.8
FTLK	9.0	6.4
FTWR	15.9	6.81
FULT	35.19	12.75
FUND	12.78	3.89
FUQI	32.68	11.5
FWLT	171.3	27.47
FWRD	50.25	33.97
FXCB	14.32	11.03
FXEN	16.71	5.94
GABC	55.0	17.2
GAI	21.62	4.99
GAIN	16.5	13.08
GBCI	37.57	17.5
GCBC	37.46	17.6
GENC	32.88	9.55
GENE	13.85	7.8
GFIG	103.16	37.02
GFLB	16.15	1.62
GFN	10.15	4.89
GGAL	22.12	4.7
GHDX	27.22	23.25
GIFI	79.0	23.39
GKSR	56.1	41.5
GLBL	45.0	16.11
GLBZ	31.16	21.0
GLDD	10.27	7.65
GLOI	12.0	6.0
GLRP	10.0	0.5
GLUU	14.8	1.12
GMCR	99.43	8.0
GMET	12.0	6.82
GMTC	14.2	4.69
GNBT	24.88	1.97
GNTX	47.08	23.38
GOOD	22.9	16.84
GOODP	29.1	18.08
GPIC	26.5	24.49
GPTX	24.5	3.95
GRNB	40.5	25.49
GROW	72.71	0.95
GRRF	22.5	6.3
GSAT	17.68	9.66
GSBC	56.0	16.87
GSIT	6.0	4.94
GSLA	22.01	14.13
GSM	10.82	8.74
GSOL	38.89	15.6
GTEC	16.9	16.42
GTIM	6.99	1.2
GTSI	16.0	5.0
GUID	17.9	5.49
GXDX	41.71	26.09
GYMB	52.5	34.93
GYRO	73.59	45.0
HA	13.5	4.55
HALL	17.62	0.5
HARL	35.35	20.2
HAVNP	13.8	12.01
HAWK	35.7	28.92
HBAN	36.29	15.56
HBANP	1065.89	322.5
HBCP	12.65	12.25
HBE	9.9	4.4
HBHC	68.5	47.95
HBNC	43.45	24.3
HBNK	13.0	10.7
HCCI	18.69	10.42
HCII	8.73	5.3
HCSG	36.67	11.75
HDIX	13.2	6.5
HDNG	40.75	15.25
HDSN	27.5	4.06
HEES	42.05	28.4
HEII	25.38	19.75
HEPH	36.25	5.96
HEV	36.5	0.68
HFBC	22.0	11.0
HFFC	36.25	10.63
HGIC	45.75	22.69
HGRD	14.0	6.25
HGSI	289.0	150.0
HHGP	35.5	18.0
HIBB	43.9	16.25
HILL	21.13	6.25
HITT	51.25	48.0
HLIT	158.0	8.69
HMNF	36.1	13.29
HMPR	15.25	12.17
HMSY	53.0	5.06
HNAB	12.94	0.94
HNBC	47.3	25.9
HNSN	39.32	3.75
HOFT	50.7	22.85
HOGS	16.79	10.8
HOKU	14.88	4.36
HOLL	34.0	4.24
HOLX	73.0	10.88
HOME	17.99	17.51
HOOK	35.0	1.7
HOTT	52.5	21.0
HOVNP	25.15	1.48
HPGP	42.22	20.7
HPOL	21.0	4.21
HRLY	24.62	12.15
HSIC	79.44	52.69
HSII	75.0	25.0
HSKA	16.75	3.75
HSOA	18.75	0.32
HSTX	21.25	9.74
HSWI	19.18	4.87
HTBK	30.63	18.18
HTCH	117.0	27.5
HTWR	39.44	30.51
HURN	84.0	41.79
HUSA	11.98	0.67
HUVL	98.0	57.6
HWAY	71.22	5.19
HWCC	31.19	20.21
HYGS	12.31	4.98
IBAS	94.25	1.5
IBB	109.3	71.91
IBCA	48.43	24.9
IBCPO	29.95	16.25
IBIS	135.0	23.31
IBKC	70.66	61.94
IBOC	83.36	43.5
ICAD	18.62	1.26
ICFI	34.36	27.78
ICGN	9.99	1.64
ICLK	6.49	1.55
ICON	24.48	7.0
ICOP	9.33	4.0
ICTG	36.88	4.5
IDCC	82.0	4.88
IDSA	47.5	5.15
IDSY	25.84	3.74
IDXX	129.35	29.25
IFAS	51.5	27.92
IFEU	59.0	21.82
IFSM	52.91	33.36
IGOV	112.99	97.0
IGTE	77.12	6.39
III	8.3	7.72
IIIN	60.0	1.95
IIJI	132.81	3.99
IILG	16.93	5.52
IIVI	74.0	3.63
IKAN	24.97	2.01
IMAX	43.75	28.5
IMGN	45.5	17.87
IMMR	79.0	25.25
IMNY	27.38	13.44
INBP	15.17	0.69
INCY	289.06	7.62
INDB	39.17	3.57
INFN	30.0	21.95
INHX	12.76	0.33
INOC	26.75	5.35
INPH	49.0	19.94
INSM	19.94	0.88
INSU	43.2	35.85
INSW	44.0	4.95
INTT	26.25	18.0
INTX	27.45	10.14
INWK	18.94	13.4
IOSP	64.0	17.62
IPAS	27.18	3.0
IPCC	55.4	42.98
IPCI	5.0	3.08
IPCM	37.98	18.85
IPCS	55.98	41.9
IPII	30.69	0.9
IPSU	36.76	11.05
IPXL	14.87	7.99
IRBT	37.9	15.0
IRIS	28.0	0.87
ISBC	16.15	9.09
ISHG	125.27	108.73
ISIL	85.25	27.16
ISLE	48.5	24.75
ISNS	19.7	2.87
ISRG	359.59	98.0
ISTA	15.6	7.84
ITIC	55.73	8.0
